SIZE,PVC_flat,PVC_trefoil,EPR_flat,EPR_trefoil,XLPE_flat,XLPE_trefoil
1,0.184,0.168,0.194,0.179,0.181,0.166
1.5,0.172,0.157,0.183,0.167,0.17,0.155
2.5,0.159,0.143,0.168,0.153,0.156,0.141
4,0.152,0.137,0.157,0.142,0.146,0.131
6,0.143,0.128,0.148,0.133,0.138,0.123
10,0.134,0.118,0.138,0.123,0.129,0.114
16,0.126,0.111,0.13,0.114,0.122,0.106
25,0.121,0.106,0.125,0.109,0.118,0.102
35,0.117,0.101,0.12,0.104,0.113,0.0982
50,0.111,0.0962,0.114,0.0988,0.108,0.0924
70,0.107,0.0917,0.109,0.0941,0.104,0.0893
95,0.106,0.0904,0.108,0.0924,0.102,0.0868
120,0.102,0.087,0.104,0.0889,0.0996,0.0844
150,0.102,0.0868,0.104,0.0885,0.0996,0.0844
185,0.101,0.0862,0.103,0.0878,0.0988,0.0835
240,0.0999,0.0847,0.101,0.0861,0.097,0.0818
300,0.0991,0.0839,0.1,0.0852,0.0961,0.0809
400,0.0982,0.0829,0.0993,0.0841,0.0955,0.0802
500,0.0973,0.082,0.0983,0.083,0.0948,0.0796
630,0.0952,0.08,0.0961,0.0809,0.094,0.078
