S_No,T_10,C_10,T_30,C_30,T_60,C_60,T_180,C_180,T_300,C_300
1,-28.0096,35.0022,-28.8959,55.051,-28.9544,62.3681,-28.8545,69.4005,-28.8559,71.206
2,-24.3759,42.994,-26.0495,58.0042,-26.1078,65.0362,-26.2186,71.783,-24.2691,74.8289
3,-20.6622,49.9881,-24.4154,59.6239,-23.2612,67.7043,-23.3717,74.071,-20.5258,77.5944
4,-17.6599,55.8401,-20.515,64.0053,-20.5728,70.372,-20.6828,75.9785,-16.4659,80.3606
5,-15.368,59.5521,-16.1928,68.4827,-18.306,72.3735,-18.2575,77.7902,-13.3024,82.5544
6,-11.1794,66.2624,-13.3464,71.4359,-16.0921,74.5648,-16.0957,79.2212,-9.45348,85.2251
7,-9.44029,68.5475,-9.34023,75.4374,-13.2451,76.7578,-13.2487,81.3192,-6.60612,86.9429
8,-6.6742,72.9735,-9.34023,75.4374,-11.0837,78.6639,-9.39982,84.0849,-3.81151,88.6606
9,-3.74884,76.1169,-6.70464,78.105,-8.07842,80.8573,-6.81608,85.612,-1.12227,90.188
10,-0.981851,79.4025,-6.70464,78.105,-5.49498,82.7645,-3.86344,87.6151,1.7783,91.3357
11,1.70623,82.4028,-3.96361,80.8678,-1.91012,85.8146,-3.86344,87.6151,3.88748,92.5765
12,4.55269,85.261,-1.01127,83.2511,1.83331,88.485,-0.963252,89.2381,6.73484,94.2944
13,4.55269,85.261,1.57179,85.6335,4.46965,90.2023,1.8315,90.7657,9.05519,95.3456
14,7.39892,88.4043,4.3658,88.1114,7.36961,92.1103,4.57358,92.1982,11.7447,96.5879
15,8.90128,89.8336,7.15995,90.3993,9.84762,93.9222,7.2629,93.6305,13.3794,97.3523
16,11.1944,91.9776,9.63781,92.4012,12.8008,95.2602,9.68838,95.1572,15.7526,98.3087
17,12.697,93.1218,12.8541,94.5001,15.0684,96.3113,12.1668,96.3989,19.2864,99.173
18,15.017,94.6007,12.8541,94.5001,18.2852,97.8401,12.1668,96.3989,21.0272,99.3676
19,17.4423,96.3174,14.963,96.121,20.9749,98.7972,14.6984,97.1657,23.9812,99.5652
20,19.9209,97.3691,17.4944,97.1728,23.9285,99.5651,17.3881,98.1228,24.9309,99.4726
21,21.5029,98.1334,19.6037,98.2236,25.089,99.6631,20.7639,98.7967,,
22,25.0362,99.758,19.6037,98.2236,,,23.3483,99.3735,,
23,,,21.7133,98.8942,,,24.6144,99.4718,,
24,,,21.7133,98.8942,,,,,,
25,,,25.089,99.6631,,,,,,
