AH_Rating,0.017,1,15,30,60,90,120,180,300,480
369,878,627,334,266,207,166,138,107,72,45.4
392,927,666,355,282,220,177,147,113,76.4,48.2
415,984,705,375,299,233,187,155,120,80.9,51
438,1041,743,396,315,246,198,164,127,85.4,53.9
461,1090,786,417,332,258,208,173,133,89.9,56.7
505,1197,857,457,364,283,228,189,146,98.5,62.1
555,1317,942,502,400,311,250,208,161,108,68.3
625,1480,1062,565,450,350,282,234,181,122,76.9
690,1635,1175,624,497,387,311,258,200,135,84.9
740,1756,1260,669,533,415,334,277,214,144,91
830,1968,1409,754,598,465,374,311,240,162,102
920,2181,1565,833,663,516,415,345,266,179,113
965,2287,1643,876,695,541,435,361,279,188,119
1040,2464,1770,941,750,583,469,390,301,203,128
1150,2726,1954,1041,831,645,519,431,333,224,141
1220,2896,2074,1106,882,684,550,457,353,238,150
1390,3299,2365,1257,1000,776,627,521,402,271,171
