Model,kW,Suction,Discharge,Dia,Qbep,Hbep
40x25 UCW 20,22,40,25,200,0.006285,41
50x40 UCW 13,22,50,40,130,0.007289,20
50x40 UCW 16,22,50,40,160,0.009256,30
50x40 UCW 20,30,50,40,200,0.009597,45
50x40 UCW 25,55,50,40,250,0.011301,76
50x40 UCW 29,55,50,40,290,0.011035,99
80x50 UCW 13,22,80,50,130,0.014336,20
80x50 UCW 16,22,80,50,160,0.018521,31
80x50 UCW 20,30,80,50,200,0.018257,50
80x50 UCW 25,55,80,50,250,0.019416,76
80x50 UCW 32,110,80,50,320,0.020298,113
100x80 UCW 13,37,100,80,130,0.027032,20
100x80 UCW 16,37,100,80,160,0.032910,31
100x80 UCW 20,45,100,80,200,0.038097,49
100x80 UCW 25,90,100,80,250,0.036000,79
100x80 UCW 32,132,100,80,320,0.039586,112
150x80 UCW 40,132,150,80,400,0.039574,173
150x100 UCW 16,55,150,100,160,0.061916,30
150x100 UCW 20,132,150,100,200,0.062633,52
150x100 UCW 25,132,150,100,250,0.067183,81
150x100 UCW 32,132,150,100,320,0.075173,123
150x100 UCW 40,132,150,100,400,0.114171,214
200x150 UCW 20,132,200,150,200,0.128459,41
200x150 UCW 25,132,200,150,250,0.121464,74
200x150 UCW 32,132,200,150,320,0.153090,124
200x150 UCW 40,132,200,150,400,0.150854,186
