Model,kW,Suction,Discharge,Dia,P1,P2,P3,P4,H1,H2,X,ML,LA,R,A,BL,BW,Wpump,Wbase
40x25 UCW 20,22,40,25,200,120,580,,,240,341,140,902,1742,,160,1460,490,135,140
50x40 UCW 13,22,50,40,130,135,580,,,240,341,140,,1757,,160,1460,490,139,140
50x40 UCW 16,22,50,40,160,135,580,,,240,341,140,,1757,,160,1460,490,141,140
50x40 UCW 20,30,50,40,200,135,580,,,240,341,140,,1851,,165,1510,490,141,165
50x40 UCW 25,55,50,40,250,140,650,,,275,425,140,,1983,,175,1680,590,210,195
50x40 UCW 29,55,50,40,290,145,650,,,290,425,140,,1988,,175,1680,590,222,195
80x50 UCW 13,22,80,50,130,140,580,,,240,341,140,,1805,,160,1460,490,139,140
80x50 UCW 16,22,80,50,160,140,580,,,240,341,140,,1805,,160,1460,490,139,140
80x50 UCW 20,30,80,50,200,150,580,,,240,341,140,,1866,,165,1510,490,147,140
80x50 UCW 25,55,80,50,250,145,650,,,270,425,140,,1988,,175,1680,590,214,195
80x50 UCW 32,110,80,50,320,170,730,,,310,430,140,,2095,,210,1890,740,345,210
100x80 UCW 13,37,100,80,130,170,650,,,260,345,140,,1963,,145,1550,530,176,110
100x80 UCW 16,37,100,80,160,170,650,,,260,345,140,,1963,,145,1550,530,177,110
100x80 UCW 20,45,100,80,200,165,650,,,260,370,140,,2184,,145,1580,550,182,135
100x80 UCW 25,90,100,80,250,165,730,,,300,430,140,,2090,,185,1870,640,281,175
100x80 UCW 32,132,100,80,320,170,730,,,410,504,140,,2525,,245,2010,730,417,255
150x80 UCW 40,132,150,80,400,185,850,,,470,574,180,,2700,,265,2190,950,623,370
150x100 UCW 16,55,150,100,160,190,650,,,295,425,140,,2363,,205,1710,600,224,200
150x100 UCW 20,132,150,100,200,185,730,,,340,470,140,,2540,,185,1950,720,319,250
150x100 UCW 25,132,150,100,250,185,730,,,340,470,140,,2540,,185,1950,720,363,250
150x100 UCW 32,132,150,100,320,195,730,,,450,574,180,,2590,,230,2050,950,562,355
150x100 UCW 40,132,150,100,400,200,850,,,575,624,200,,2735,,295,2240,1090,774,420
150x100 UCW 50,132,150,100,500,215,850,,,460,574,180,,2480,,270,2260,1000,1090,400
200x200 UCW 20,55,200,200,200,250,765,,,430,529,200,,2193,,245,1950,920,700,315
200x200 UCW 25,75,200,200,250,220,765,,,480,529,180,,2194,,260,2000,970,765,380
200x150 UCW 20,132,200,150,200,220,745,,,380,529,200,,2650,,260,2100,710,404,315
200x150 UCW 25,132,200,150,250,220,760,,,450,529,200,,2665,,260,2120,770,512,315
200x150 UCW 32,132,200,150,320,220,850,,,450,529,200,,2755,,260,2210,770,559,335
200x150 UCW 40,132,200,150,400,230,850,,,525,624,200,,2765,,285,2230,930,834,410
200x150 UCW 50,132,200,150,500,245,950,,,580,574,180,,2610,,306,2380,1180,1510,450
250x250 UCW 25,132,250,250,250,280,785,,,580,574,200,,2500,,290,2230,1190,860,450
250x200 UCW 32,132,250,200,320,255,850,,,580,574,200,,2540,,290,2300,1140,1040,450
250x200 UCW 40,132,250,200,400,255,850,,,580,574,200,,2540,,290,2300,1140,1050,450
250x200 UCW 50,110,250,200,500,250,950,,,650,624,200,,2554,,335,2390,1230,1790,485
250x150 UCW 57,140,250,150,570,250,1110,,,650,800,280,,3459,,370,3040,1200,1900,600
250x150 UCW 70,280,250,150,700,270,1200,,,780,860,300,,3915,,445,3400,1350,2100,850
300x250 UCW 50,280,300,250,500,300,1135,,,700,800,280,,3860,,380,3330,1360,2100,900
300x250 UCW 60,450,300,250,600,300,1200,,,750,815,300,,4480,,400,3650,1360,2300,950
300x200 UCW 65,350,300,200,650,280,1190,,,750,860,300,,4014,,440,3440,1420,2200,950
