Component,MW,LHV,Cp,specificAir,specificCO2,specificH2O,specificN2
Carbon,12,0,0,11.51,3.66,0,8.85
Hydrogen,2.02,120000,14.27,34.29,0,8.94,26.36
Oxygen,32,0,0.918,-4.32,0,0,-3.32
Nitrogen,28,0,1.041,0,0,0,1
CarbonMonoxide,28,10100,1.042,2.47,1.57,0,1.9
CarbonDioxide,44,0,0.841,0,1,0,0
Methane,16,50000,2.21,17.24,2.74,2.25,13.25
Ethane,30.1,47490,1.72,16.09,2.93,1.8,12.37
Ethylene,28.1,47190,1.505,14.79,3.14,1.28,11.36
Acetylene,26,48240,1.505,13.29,3.38,0.69,10.21
Propane,44.1,46360,1.643,15.68,2.99,1.63,12.05
Propylene,42.1,45800,1.517,14.79,3.14,1.28,11.36
Butane,58.1,45750,1.694,15.46,3.03,1.55,11.88
Butylene,56.1,45170,1.597,14.79,3.14,1.28,11.36
Pentane,72.1,45360,2.27,15.33,3.05,1.5,11.78
Hexane,86.2,45100,2.21,15.24,3.06,1.46,11.71
Benzene,78.10,40170,1.71,13.27,3.38,0.69,10.2
Methanol,32,19960,2.473,6.48,1.38,1.13,4.98
Ammonia,17,18600,2.165,6.1,0,1.59,5.51
Sulphur,32.1,0,0,4.31,2,0,3.31
HydrogenSulphide,34.1,15240,1.012,6.08,1.88,0.53,4.68
Water,18,0,1.915,0,0,1,0
