Component,Formula,MW,O2_moles,CO2_moles,H2O_moles,SO2_moles,N2_moles
Carbon,C,12,1,1,0,0,0
Hydrogen,H2,2.02,0.5,0,1,0,0
Oxygen,O2,32,-1,0,0,0,0
Nitrogen,N2,28,0,0,0,0,1
CarbonMonoxide,CO,28,0.5,1,0,0,0
CarbonDioxide,CO2,44,0,1,0,0,0
Methane,CH4,16,2,1,2,0,0
Ethane,C2H6,30.1,3.5,2,3,0,0
Ethylene,C2H4,28.1,3,2,2,0,0
Acetylene,C2H2,26,2.5,2,1,0,0
Propane,C3H8,44.1,5,3,4,0,0
Propylene,C3H6,42.1,4.5,3,3,0,0
Butane,C4H10,58.1,6.5,4,5,0,0
Butylene,C4H8,56.1,6,4,4,0,0
Pentane,C5H12,72.1,8,5,6,0,0
Hexane,C6H14,86.2,9.5,6,7,0,0
Benzene,C6H6,78.1,7.5,6,3,0,0
Methanol,CH3OH,32,1.5,1,2,0,0
Ammonia,NH3,17,0.75,0,1.5,0,0.5
Sulphur,S,32.1,1,0,0,1,0
HydrogenSulphide,H2S,34.1,1.5,0,1,1,0
Water,H2O,18,0,0,1,0,0
